ff861bd2801093{"ppm": 445, "dt": "2020-11-25T18:22:13.050337"}
ff861bb2801095{"ppm": 443, "dt": "2020-11-25T18:22:45.110945"}
ff861bf2801091{"ppm": 447, "dt": "2020-11-25T18:23:17.171180"}
ff861c2280108e{"ppm": 450, "dt": "2020-11-25T18:23:49.231940"}
ff861be2801092{"ppm": 446, "dt": "2020-11-25T18:24:21.291806"}
ff861bc2801094{"ppm": 444, "dt": "2020-11-25T18:24:53.352073"}
ff861ba2801096{"ppm": 442, "dt": "2020-11-25T18:25:25.412795"}
ff861b6280109a{"ppm": 438, "dt": "2020-11-25T18:25:57.473582"}
ff861bd2801093{"ppm": 445, "dt": "2020-11-25T18:26:29.533867"}
ff861bf2801091{"ppm": 447, "dt": "2020-11-25T18:27:01.594462"}
ff861ba2801096{"ppm": 442, "dt": "2020-11-25T18:27:33.654942"}
ff861b5280109b{"ppm": 437, "dt": "2020-11-25T18:28:05.717032"}
ff861b72801099{"ppm": 439, "dt": "2020-11-25T18:28:37.777872"}
ff861b5280109b{"ppm": 437, "dt": "2020-11-25T18:29:09.838614"}
ff861b5280109b{"ppm": 437, "dt": "2020-11-25T18:29:41.898839"}
ff861b2280209d{"ppm": 434, "dt": "2020-11-25T18:30:13.958805"}
ff861b0280209f{"ppm": 432, "dt": "2020-11-25T18:30:46.019251"}
ff861b2280209d{"ppm": 434, "dt": "2020-11-25T18:31:18.051515"}
ff861b1280209e{"ppm": 433, "dt": "2020-11-25T18:31:50.111449"}
ff861b0280209f{"ppm": 432, "dt": "2020-11-25T18:32:22.172001"}
ff861b4280209b{"ppm": 436, "dt": "2020-11-25T18:32:54.231884"}
ff861b5280209a{"ppm": 437, "dt": "2020-11-25T18:33:26.292451"}
ff861b1280209e{"ppm": 433, "dt": "2020-11-25T18:33:58.352750"}
ff861b0280209f{"ppm": 432, "dt": "2020-11-25T18:34:30.413037"}
ff861ab28020a4{"ppm": 427, "dt": "2020-11-25T18:35:02.473127"}
ff861a928020a6{"ppm": 425, "dt": "2020-11-25T18:35:34.532525"}
ff861af28020a0{"ppm": 431, "dt": "2020-11-25T18:36:06.592492"}
ff861b4280209b{"ppm": 436, "dt": "2020-11-25T18:36:38.653019"}
ff861b5280209a{"ppm": 437, "dt": "2020-11-25T18:37:10.713048"}
ff861bb2802094{"ppm": 443, "dt": "2020-11-25T18:37:42.773215"}
ff861b62802099{"ppm": 438, "dt": "2020-11-25T18:38:14.833276"}
ff861ba2802095{"ppm": 442, "dt": "2020-11-25T18:38:46.893636"}
ff861b92802096{"ppm": 441, "dt": "2020-11-25T18:39:18.954016"}
ff861b92802096{"ppm": 441, "dt": "2020-11-25T18:39:51.014663"}
ff861b72803097{"ppm": 439, "dt": "2020-11-25T18:40:23.050815"}
ff861b52803099{"ppm": 437, "dt": "2020-11-25T18:40:55.110696"}
ff861b72803097{"ppm": 439, "dt": "2020-11-25T18:41:27.171103"}
ff861b82803096{"ppm": 440, "dt": "2020-11-25T18:41:59.231652"}
ff861b1280309d{"ppm": 433, "dt": "2020-11-25T18:42:31.291990"}
ff861b3280309b{"ppm": 435, "dt": "2020-11-25T18:43:03.330806"}
ff861b2280309c{"ppm": 434, "dt": "2020-11-25T18:43:35.392729"}
ff861b1280309d{"ppm": 433, "dt": "2020-11-25T18:44:07.452726"}
ff861b4280309a{"ppm": 436, "dt": "2020-11-25T18:44:39.513028"}
ff861b0280309e{"ppm": 432, "dt": "2020-11-25T18:45:11.550284"}
ff861ae28030a0{"ppm": 430, "dt": "2020-11-25T18:45:43.610706"}
ff861ad28030a1{"ppm": 429, "dt": "2020-11-25T18:46:15.671185"}
ff861ac28030a2{"ppm": 428, "dt": "2020-11-25T18:46:47.731531"}
ff861ac28030a2{"ppm": 428, "dt": "2020-11-25T18:47:19.791728"}
ff861ab28030a3{"ppm": 427, "dt": "2020-11-25T18:47:51.852546"}
ff861af280309f{"ppm": 431, "dt": "2020-11-25T18:48:23.913074"}
ff861b4280309a{"ppm": 436, "dt": "2020-11-25T18:48:55.973386"}
ff861b62803098{"ppm": 438, "dt": "2020-11-25T18:49:28.033230"}
ff861ba2804093{"ppm": 442, "dt": "2020-11-25T18:50:00.093315"}
ff861ba2804093{"ppm": 442, "dt": "2020-11-25T18:50:32.153451"}
ff861bc2804091{"ppm": 444, "dt": "2020-11-25T18:51:04.210644"}
ff861bc2804091{"ppm": 444, "dt": "2020-11-25T18:51:36.270942"}
ff861bc2804091{"ppm": 444, "dt": "2020-11-25T18:52:08.331342"}
ff861b72804096{"ppm": 439, "dt": "2020-11-25T18:52:40.391472"}
ff861b62804097{"ppm": 438, "dt": "2020-11-25T18:53:12.452152"}
ff861b42804099{"ppm": 436, "dt": "2020-11-25T18:53:44.513173"}
ff861b0280409d{"ppm": 432, "dt": "2020-11-25T18:54:16.550535"}
ff861af280409e{"ppm": 431, "dt": "2020-11-25T18:54:48.611104"}
ff861b3280409a{"ppm": 435, "dt": "2020-11-25T18:55:20.671480"}
ff861b42804099{"ppm": 436, "dt": "2020-11-25T18:55:52.731357"}
ff861b52804098{"ppm": 437, "dt": "2020-11-25T18:56:24.791204"}
ff861ae280409f{"ppm": 430, "dt": "2020-11-25T18:56:56.851445"}
ff861ac28040a1{"ppm": 428, "dt": "2020-11-25T18:57:28.912028"}
ff861af280409e{"ppm": 431, "dt": "2020-11-25T18:58:00.972591"}
ff861b0280409d{"ppm": 432, "dt": "2020-11-25T18:58:33.032634"}
ff861b0280409d{"ppm": 432, "dt": "2020-11-25T18:59:05.094466"}
ff861b0280409d{"ppm": 432, "dt": "2020-11-25T18:59:37.140022"}
ff861a828050a4{"ppm": 424, "dt": "2020-11-25T19:00:09.170665"}
ff861a328050a9{"ppm": 419, "dt": "2020-11-25T19:00:41.230574"}
ff861a328050a9{"ppm": 419, "dt": "2020-11-25T19:01:13.291164"}
ff861ad280509f{"ppm": 429, "dt": "2020-11-25T19:01:45.351503"}
ff861af280509d{"ppm": 431, "dt": "2020-11-25T19:02:17.411783"}
ff861ae280509e{"ppm": 430, "dt": "2020-11-25T19:02:49.472603"}
ff861b32805099{"ppm": 435, "dt": "2020-11-25T19:03:21.532737"}
ff861a928050a3{"ppm": 425, "dt": "2020-11-25T19:03:53.593059"}
ff861a628050a6{"ppm": 422, "dt": "2020-11-25T19:04:25.650501"}
ff861a128050ab{"ppm": 417, "dt": "2020-11-25T19:04:57.710922"}
ff861a028050ac{"ppm": 416, "dt": "2020-11-25T19:05:29.771651"}
ff861a928050a3{"ppm": 425, "dt": "2020-11-25T19:06:01.831636"}
ff861af280509d{"ppm": 431, "dt": "2020-11-25T19:06:33.892210"}
ff861a628050a6{"ppm": 422, "dt": "2020-11-25T19:07:05.952243"}
ff861ab28050a1{"ppm": 427, "dt": "2020-11-25T19:07:38.012172"}
ff861af280509d{"ppm": 431, "dt": "2020-11-25T19:08:10.050266"}
ff861b2280509a{"ppm": 434, "dt": "2020-11-25T19:08:42.111169"}
